"text","id"
"2016前端开发技术巡礼，前端开发已经发生了翻天覆地的变化，几年前jQuery解决的90%的问题，现在层出不穷的前端框架眼花缭乱，应接不暇，后端工程师表示很多东西已经看不懂了。 <a data-url=""http://t.cn/RI1WGO9"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.infoq.com%2Fcn%2Farticles%2F2016-review-frontend%230-tsina-1-46929-397232819ff9a47a7b7e80a40613cfe1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","12"
"与其学一门编程语言，还不如去学点基础的系统、网络、算法、密码学那块的东西","13"
"这速度 ???","14"
"4步完成多行注释  1、Ctrl + v 进入 Visual 模式，选中需要注释的代码块 2、Shift + i 进入 Insert 模式（光标会自动跳到注释的第一行） 3、在注释的代码块首行插入注释 “#” 4、Esc","15"
"分享图片 ???","16"
"分享图片 ???","17"
"自行车是流浪和叛逆的工具，让人抵达没有轨道的目的地 ???","18"
"<a data-url=""http://t.cn/RADxkSG"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.infosec.sdu.edu.cn%2Fperson_wangxiaoyun.htm"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> 牛逼哄哄的人物 ???","19"
"我们那校园暴力事件比比皆是啊，拉帮结派，A学校同学打B学校的 //<a href='/n/安全_云舒'>@安全_云舒</a>:我在黄冈上学的时候，曾经兼任语文、数学、物理三科课代表。可惜后来因为游戏机和电脑堕落了。<i class=""face face_1 icon_19"">[笑cry]</i>","20"
"<a data-url=""http://t.cn/RIq4UUH"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fmp.weixin.qq.com%2Fs%2FbaavCsOtKH0uuUGI-GPecw"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> 总算是完全理解 迭代对象、迭代器、生成器 ???","21"
"恭喜","22"
"有人翻译了吗？ //<a href='/n/网路冷眼'>@网路冷眼</a>:真快啊，都翻译完了吗？<i class=""face face_3 icon_3"">[赞]</i> //<a href='/n/不会啊写代码'>@不会啊写代码</a>: 翻译了好久","23"
"我在《开发者头条》开通了独家号《Pythonista》 <a data-url=""http://t.cn/RfLksZf"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Ftoutiao.io%2Fsubjects%2F291"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> 快来订阅吧！（下载 <a href='/n/开发者头条'>@开发者头条</a> App：<a data-url=""http://t.cn/RfuxuGq"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Ftoutiao.io%2Fapp%2Fdownload%3Fref%3Dsubject_291"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> 发现 &gt; 搜索 291 即可） ???","24"
"护身符 ???","25"
"HTTPS：基础加密算法 - FooFish 密码学在计算机科学中使用非常广泛，HTTPS就是建立在密码学基础之上的一种安全的通信协议。HTTPS早在1994年由网景公司首次提出，而如今在众多互联网厂商的推广之下HTTPS已经被广泛使用在各种大小网站中。在完全理解HTTPS之前，有必要弄清楚一些密 <a data-url=""http://t.cn/Rf28UIM"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ffoofish.net%2Fhttps-symmetric.html"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","26"
"这个页面有个bug啊，点“立即注册”跳不过去  <a href='/n/Ucloud华琨'>@Ucloud华琨</a> <a href='/n/UCloud云计算'>@UCloud云计算</a> ???","27"
"6666 &gt; Server APIs Project <a data-url=""http://t.cn/RVHpoUi"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fm.jike.ruguoapp.com%2Fmessages%2F5810dc612607701100147325"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> (via <a href='/n/即刻'>@即刻</a>) ???","28"
"Python 编码为什么那么蛋疼？ - 回答作者：「zhijun liu」<a data-url=""http://t.cn/RtX8rjW"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.zhihu.com%2Fquestion%2F31833164%2Fanswer%2F114694586"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>（想看更多？下载 <a href='/n/知乎'>@知乎</a> App：<a data-url=""http://t.cn/zHpKgdA"" href=""http://m.weibo.cn/p/index?containerid=100404711598"" ><i class=""iconimg iconimg-xs""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_appstore_default.png""></i><span class=""surl-text"">知乎</span></a> ） <a data-url=""http://t.cn/RtX8rjW"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.zhihu.com%2Fquestion%2F31833164%2Fanswer%2F114694586"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","29"
"正确的退订姿势是回复：“TD退订”","30"
"<i class=""face face_2 icon_15"">[失望]</i> ???","31"
"论中文与英文谁更优雅 ???","32"
"分享图片 ???","33"
"呵呵，还有第三类是根本不用｛｝","34"
"R的回应看起来让人觉得匿名者就是R。可能事情并不是表面看起来简单，猜测F只是希望让R背一下黑锅，于是R配合了。有肯能真正的匿名者是公司董事会。","35"
"//<a href='/n/胡波_'>@胡波_</a>: <i class=""face face_1 icon_19"">[笑cry]</i>→_→//<a href='/n/Easy'>@Easy</a>: 右边太犀利了 <i class=""face face_1 icon_19"">[笑cry]</i>  //<a href='/n/stvchu'>@stvchu</a>: 因为fenng的影响力，都是写博客和写微博出来的，不辩一下，舆论口稍不对，就全盘崩塌了，哪怕背后干了很多落地的事，都淹没了，你不一样 <a class='k' href='/k/好像说的有点狠?from=feed'>#好像说的有点狠#</a>","36"
"django配置文件的变量必须大写就像内裤只能穿三角的一样 ???","37"
"有些人天生就是为了改变和创造而生，然后又死了","38"
"语言就像宗教一样，一言不合就吵起来了 <a data-url=""http://t.cn/Rti8xxc"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fv2ex.com%2Ft%2F296233%23reply91"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","39"
"台风过后开始补食 ???","40"
"但凡重要的历史事件都会出现两次//<a href='/n/网路冷眼'>@网路冷眼</a>:青出于蓝而胜于蓝，用曾经的套路以牙还牙，刀刀见血<i class=""face face_1 icon_5"">[挖鼻]</i>","41"
"查明真相","42"
"已经有人把《网传附莆田系医院名单 》放在GitHUb了 <a data-url=""http://t.cn/RqQoTjS"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Fgithub.com%2Flanghua9527%2FBlackheartedHospital%3Futm_campaign%3Dexplore-email%26utm_medium%3Demail%26utm_source%3Dnewsletter%26utm_term%3Dweekly"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","43"
"git<a href='/n/osc'>@osc</a> 的公钥配置只支持clone与pull等只读操作吗？不支持push吗？求解答 ???","44"
"//<a href='/n/ASTA谢'>@ASTA谢</a>: 为自己吹过的牛逼负责 //<a href='/n/左耳朵耗子'>@左耳朵耗子</a>:作为一个有责任的企业，<a href='/n/支付宝'>@支付宝</a> 最正确的公关姿势，应该是和用户站在一起，督促公安机关抓获犯罪份子，为用户挽回损失，为社会除害。这样还可以弥补一下曾经在安全上吹过的牛逼。","45"
"Linux性能监控命令：free <a data-url=""http://t.cn/RG0heGm"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ffoofish.net%2Fblog%2F98%2Flinux-command-free%230-tsina-1-29161-397232819ff9a47a7b7e80a40613cfe1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","46"
"我刚加入<a href='/n/前端开发博客'>@前端开发博客</a> 的《前端花名册》<a data-url=""http://t.cn/RGpBMjz"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fcaibaojian.com%2Fauthor%3Futm_source%3Dw1697702241"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>，这里有许多不错的资源，一些技术问题也有比较详细的解决方案，我的主页：<a data-url=""http://t.cn/RGpBMjZ"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fcaibaojian.com%2Fauthor%2Fw1697702241%3Futm_source%3Dweibo"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","47"
"HTTP 缓存策略 <a data-url=""http://t.cn/Rb1Rx6f"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ft.jiathis.com%2FRa6uP"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","48"
"<a class='k' href='/k/论e文的重要性?from=feed'>#论e文的重要性#</a> 维基百科对cookie的解释，中英版差别太大 <a data-url=""http://t.cn/RbRFKk6"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FHTTP_cookie%23Secure_cookie"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>，中文版几乎没参考价值 ???","49"
"赚了25$<i class=""face face_2 icon_24"">[心]</i> <a data-url=""http://t.cn/R4SxG4u"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Fwww.digitalocean.com%2F%3Frefcode%3Daf4cff8f42bc"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","50"
" //<a href='/n/程序员的那些事'>@程序员的那些事</a>:<i class=""face face_1 icon_27"">[鼓掌]</i><i class=""face face_1 icon_27"">[鼓掌]</i><i class=""face face_1 icon_27"">[鼓掌]</i>//<a href='/n/ImportNew'>@ImportNew</a>: 最新进展：《Java资源大全》在GitHub已超过 1100 star <a data-url=""http://t.cn/RUtp4qt"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Fgithub.com%2Fjobbole%2Fawesome-java-cn"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ，已整理 100+ Java精选工具资源到： <a data-url=""http://t.cn/zHXhbo9"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fhao.jobbole.com%2F"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> 。感谢19位参与整理和向这个列表提交pr的朋友。欢迎收藏，请帮扩散~","51"
" //<a href='/n/ImportNew'>@ImportNew</a>:《2015搜狐校招笔试题(金鱼问题)》","52"
"go有哪些典型的案例 //<a href='/n/陈小玉'>@陈小玉</a>:agree //<a href='/n/ideawu'>@ideawu</a>:大系统只有c，c++，java，go，其他的小众语言偶尔能解决短阶段<a href='/n/yanggege007'>@yanggege007</a>: 从Ruby平台迁移到JVM上。单机QPS处理能力从200~300提高到10000~20000，延迟减小到1/3；减少了90%资源使用。 后端服务访问量大了 基本各大公司目前除了java、c++、还有新兴的go","53"
"Python列表对象实现原理 <a data-url=""http://t.cn/R4ypvKp"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ffoofish.net%2Fblog%2F91%2Fpython-list-implements%230-tsina-1-3072-397232819ff9a47a7b7e80a40613cfe1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","54"
"我在伯乐头条看到了一篇不错的文章  《Python 整数对象实现原理》 （分享自 <a href='/n/伯乐头条'>@伯乐头条</a>） <a data-url=""http://t.cn/R47PpyI"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ftop.jobbole.com%2F31280%2F"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","55"
"<a class='k' href='/k/豆瓣阅读?from=feed'>#豆瓣阅读#</a> 我写了《Python源码剖析》的一条批注： <a data-url=""http://t.cn/RUBG8rO"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fread.douban.com%2Fannotation%2F11573378%3Fdct%3DWeb%26type%3Dshare-anno-personal%26dcc%3D11573378%26dcm%3Dweibo%26dcs%3Dupdates"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","56"
"转发微博","57"
"就喜欢简单高效！我在用<a href='/n/Weico微博客户端'>@Weico微博客户端</a>，智能夜间模式、个性定制阅读环境、还有离线模式节省流量！想体验更好？戳链接下载Weico 4:<a data-url=""http://t.cn/RAPgR4n"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fweico.com%2Fweico4%2Fjump%3Furl_type%3D39%26object_type%3Dwebpage%26pos%3D1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">Weico-最具人气...</span></a> ???","58"
"就喜欢简单高效！我在用<a href='/n/Weico微博客户端'>@Weico微博客户端</a>，智能夜间模式、个性定制阅读环境、还有离线模式节省流量！想体验更好？戳链接下载Weico 4:<a data-url=""http://t.cn/RAPgR4n"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fweico.com%2Fweico4%2Fjump%3Furl_type%3D39%26object_type%3Dwebpage%26pos%3D1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">Weico-最具人气...</span></a> ???","59"
"加班苦加班累，加班好疲惫 ???","60"
"：今天还要这么晚回来吗？ ：能这么晚回来就是不幸中的大幸了。  ————珍爱生命，远离加班 ???","61"
"分享图片 Bitbucket挂了.... ???","62"
"转发微博","63"
"转发微博","64"
"转发微博","65"
"//<a href='/n/程序员的那些事'>@程序员的那些事</a>:在北京的程序媛妹子~ （还在迟疑的单身妹子，可以看看通过 <a class='k' href='/k/面向对象?from=feed'>#面向对象#</a> 的成功案例：<a data-url=""http://t.cn/RymOl82"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fdate.jobbole.com%2Fcategory%2Fsuccess%2F%3Furl_type%3D39%26object_type%3Dwebpage%26pos%3D1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">脱单/交往中 - 面...</span></a> ）","66"
"Instagram架构的分片和ID的设计 <a data-url=""http://t.cn/RLCvow9"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Farticle.yeeyan.org%2Fview%2F550060%2F463091"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","67"
"这样的读者感动的想哭<i class=""face face_1 icon_19"">[笑cry]</i> ???","68"
"这是一个关乎坚持的作品，值得每个人支持｜100offer - <a data-url=""http://t.cn/Ryi0ixh"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fi.100offer.com%2Fprojects%2F188%3Fbsh_bid%3D740725799"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","69"
"好多水军，苏老师不要理会//<a href='/n/苏群'>@苏群</a>:回复<a href='/n/小小飞羽'>@小小飞羽</a>:我不知道你哪家好人，但未经你同意，到你家把窗帘换了，你愿意吗？术业有专攻，心甘情愿被流氓不知道什么心态。 //<a href='/n/小小飞羽'>@小小飞羽</a>:别怪人家流氓，是自己不会用。改主页到浏览器设置，别的不说360极速浏览器很好用","70"
"<a class='k' href='/k/微博六周年?from=feed'>#微博六周年#</a>2009年8月28日，微博开放公测。今天，我注册微博2015天了，你呢？ <a data-url=""http://t.cn/Ryhe100"" href=""http://m.weibo.cn/p/index/?containerid=230741_6years"" ><i class=""iconimg iconimg-xs""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_run_default.png""></i><span class=""surl-text"">微博六周年</span></a> ???","71"
"转发微博","72"
"『快速实现, 快速验证.  不要一开始就妄图设计一个完美的系统: 需求会改/项目会砍  一开始不要想得太过复杂, 基本流程ok, 上线, 迭代上线完善的功能, 不要一开始就花大力气想直接搞定, 因为这里面很多成本其实是不必要的, 搞不好你花了一周赶完, 上了发现根本毫无用处.』 <a data-url=""http://t.cn/RLjP6Cw"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.wklken.me%2Fposts%2F2015%2F07%2F24%2Fsummary-11-review-and-restart.html%230-tsina-1-2268-397232819ff9a47a7b7e80a40613cfe1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","73"
"流氓滴滴打车，流氓司机，叫车的显示费用41块，实际产生费用是76.3。用Uber没优惠也只要三十多 ???","74"
"//<a href='/n/阿里日照'>@阿里日照</a>: //<a href='/n/hopesoft'>@hopesoft</a>: //<a href='/n/Python发烧友'>@Python发烧友</a>:Repost","75"
"Linus觉得以前的那些版本控制系统都是蠢货","76"
"MySQL慢查询配置 <a data-url=""http://t.cn/RZenn1O"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ffoofish.net%2Fblog%2F68%2Fmysql-slow-query-log"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","77"
"哈哈，欢迎Pull Request//<a href='/n/ImportNew'>@ImportNew</a>: 谢谢大家！在这个点，刚公开十几分钟，好几位都想来帮忙，再次感谢大家！cc: <a href='/n/_zhijun'>@_zhijun</a> //<a href='/n/vrfamily'>@vrfamily</a>: 顶，希望后期也能为该项目做点儿贡献。加油!!!","78"
"ImportNew Android App 从0到1 <a data-url=""http://t.cn/RLbhgm6"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Ffoofish.net%2Fblog%2F81%2Fimportnew_android_app_from_0_to_1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","79"
"简单高效还流畅！我在用 Android 上超棒的<a href='/n/Weico微博客户端'>@Weico微博客户端</a>，智能夜间模式、自定义字体，还有离线助手帮我节省流量！想试试更好的微博体验？戳链接下载Weico 4： <a data-url=""http://t.cn/RAYVjpZ"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.weico.com%2Fweico4%2Fjump%3Furl_type%3D39%26object_type%3Dwebpage%26pos%3D1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">Weico-最具人气...</span></a> ???","80"
"Git 少用 Pull 多用 Fetch 和 Merge - 技术翻译: 本文有点长而且有点乱，但就像Mark Twain?Blaise Pascal的笑话里说的那样：我没有时间让它更短些。在Git的邮件列表里有很多关于本文的讨论，我会尽量把其中相关的观点列... <a data-url=""http://t.cn/z8uKYDu"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.oschina.net%2Ftranslate%2Fgit-fetch-and-merge"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>  ???","81"
"【python idle 解释和直接 python script.py 解释有什么差别？】<a href='/n/RednaxelaFX'>@RednaxelaFX</a>：题主想的“逐行解释”与“整体解释”的差异的思路是对的，不过细节不太对。下面讲点细节。 跟Sublime、IDLE啥的没关系。 $ python Python 2.7.… <a data-url=""http://t.cn/RL2JXGz"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fzhi.hu%2Fnkhc"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a>（分享自 <a href='/n/知乎'>@知乎</a>） ???","82"
"分享图片 ???","83"
"社区完全摒弃py2的日子还有很长 ???","84"
"不相信的时候再多的解释都显得苍白无力，也许唯一能做的也就是什么都不说。或许看漏信息是真不应该发生的事。 ???","85"
"简单高效还流畅！我在用 Android 上超棒的<a href='/n/Weico微博客户端'>@Weico微博客户端</a>，智能夜间模式、自定义字体，还有离线助手帮我节省流量！想试试更好的微博体验？戳链接下载Weico 4： <a data-url=""http://t.cn/RAYVjpZ"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fwww.weico.com%2Fweico4%2Fjump%3Furl_type%3D39%26object_type%3Dwebpage%26pos%3D1"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">Weico-最具人气...</span></a> ???","86"
